"pk","timestamp","confidence","price"
"pepe#price","1713829489000","0.0000000117","0.0000068775"
"pepe#price","1713829489001","0.000000012","0.0000068777"
"pepe#price","1713829489002","0.0000000119","0.0000068778"
"pepe#price","1713829490000","0.0000000146","0.0000068778"
"pepe#price","1713829958000","0.000000014","0.0000068876"
"pepe#price","1713829960001","0.0000000186","0.0000068949"
"pepe#price","1713830097000","0.0000000149","0.000006895"
"pepe#price","1713830315000","0.0000000117","0.000006885"
"pepe#price","1713830315001","0.000000012","0.000006885"
"pepe#price","1713830315002","0.000000012","0.0000068856"
"pepe#price","1713830316000","0.0000000115","0.0000068851"
"pepe#price","1713830316001","0.0000000117","0.000006885"
"pepe#price","1713830317000","0.0000000118","0.000006885"
"pepe#price","1713830317001","0.0000000123","0.0000068855"
"pepe#price","1713830318000","0.0000000119","0.0000068852"
"pepe#price","1713830318001","0.0000000139","0.0000068841"
"pepe#price","1713830318002","0.0000000126","0.0000068819"
"pepe#price","1713830319000","0.000000016","0.00000688"
"pepe#price","1713830320000","0.0000000149","0.0000068788"
"pepe#price","1713830320001","0.0000000149","0.0000068788"
"pepe#price","1713830320002","0.0000000138","0.0000068778"
"pepe#price","1713830320003","0.0000000152","0.0000068792"
"pepe#price","1713830321000","0.0000000137","0.0000068822"
"pepe#price","1713830321001","0.0000000126","0.0000068828"
"pepe#price","1713830322000","0.0000000153","0.0000068828"
"pepe#price","1713830322001","0.0000000161","0.0000068836"
"pepe#price","1713830425000","0.000000013","0.0000068688"
"pepe#price","1713830426000","0.000000013","0.0000068688"
"pepe#price","1713830426001","0.0000000137","0.0000068677"
"pepe#price","1713830427000","0.0000000126","0.0000068684"
"pepe#price","1713830427001","0.0000000122","0.0000068688"
"pepe#price","1713830427002","0.000000013","0.0000068688"
"pepe#price","1713830428000","0.0000000127","0.0000068693"
"pepe#price","1713830429000","0.0000000145","0.0000068688"
"pepe#price","1713830747000","0.0000000141","0.0000068704"
"pepe#price","1713830747001","0.0000000145","0.0000068708"
"pepe#price","1713830747002","0.0000000145","0.0000068708"
"pepe#price","1713830748000","0.0000000149","0.0000068708"
"pepe#price","1713830748001","0.000000013","0.0000068705"
"pepe#price","1713830749000","0.0000000145","0.0000068708"
"pepe#price","1713830749001","0.0000000123","0.0000068717"
"pepe#price","1713830750000","0.0000000123","0.0000068717"
"pepe#price","1713831530000","0.0000000122","0.0000068688"
"pepe#price","1713831530001","0.0000000137","0.00000687"
"pepe#price","1713831531000","0.0000000137","0.00000687"
"pepe#price","1713831531001","0.0000000153","0.0000068722"
"pepe#price","1713831532000","0.0000000143","0.0000068722"
"pepe#price","1713831532001","0.000000015","0.0000068731"
"pepe#price","1713831532002","0.0000000164","0.0000068731"
"pepe#price","1713831532003","0.0000000153","0.000006872"
"pepe#price","1713831533000","0.000000015","0.0000068716"
"pepe#price","1713831533001","0.0000000141","0.0000068696"
"pepe#price","1713831534000","0.0000000127","0.0000068689"
"pepe#price","1713831534001","0.0000000133","0.00000687"
"pepe#price","1713831535000","0.0000000122","0.0000068689"
"pepe#price","1713831535001","0.0000000113","0.0000068689"
"pepe#price","1713831536000","0.0000000113","0.0000068689"
"pepe#price","1713831536001","0.0000000122","0.0000068689"
"pepe#price","1713831537000","0.0000000119","0.0000068686"
"pepe#price","1713831537001","0.0000000117","0.0000068683"
"pepe#price","1713831537002","0.0000000114","0.000006868"
"pepe#price","1713831537003","0.0000000115","0.0000068679"
"pepe#price","1713831538000","0.0000000121","0.0000068679"
"pepe#price","1713831538001","0.0000000117","0.000006868"
"pepe#price","1713831539000","0.0000000114","0.000006868"
"pepe#price","1713831539001","0.0000000117","0.0000068677"
"pepe#price","1713831540000","0.0000000125","0.0000068676"
"pepe#price","1713831540001","0.0000000119","0.0000068675"
"pepe#price","1713831540002","0.0000000116","0.0000068678"
"pepe#price","1713831541000","0.0000000109","0.0000068685"
"pepe#price","1713831542000","0.0000000121","0.0000068687"
"pepe#price","1713831542001","0.0000000138","0.0000068718"
