"pk","timestamp","confidence","price","version","quote","exchange","provider"
"doge#price","1713831539001","0.00016005","0.16073931","2","usd","pyth","pyth"
"doge#price","1713831540000","0.00016045","0.16074042","2","usd","pyth","pyth"
"doge#price","1713831540001","0.00018446","0.16074102","2","usd","pyth","pyth"
"doge#price","1713831540002","0.00014179","0.16073834","2","usd","pyth","pyth"
"doge#price","1713831541000","0.00013939","0.16073834","2","usd","pyth","pyth"
"doge#price","1713831542000","0.00016408","0.16073834","2","usd","pyth","pyth"
"doge#price","1713831542001","0.00018049","0.16074499","2","usd","pyth","pyth"
"doge#price","1713831542002","0.00021214","0.16074969","2","usd","pyth","pyth"
"doge#price","1713831542003","0.00020085","0.16074994","2","usd","pyth","pyth"
"doge#price","1713831543000","0.00019995","0.16075084","2","usd","pyth","pyth"
"doge#price","1713831543001","0.00020117","0.16074963","2","usd","pyth","pyth"
"doge#price","1713831544000","0.00016356","0.16074717","2","usd","pyth","pyth"
"doge#price","1713831544001","0.00017756","0.16074792","2","usd","pyth","pyth"
"doge#price","1713831545000","0.00016984","0.16075139","2","usd","pyth","pyth"
"doge#price","1713831545001","0.00015303","0.16074886","2","usd","pyth","pyth"
"doge#price","1713831545002","0.00014203","0.16075986","2","usd","pyth","pyth"
"doge#price","1713831546000","0.00018345","0.16076656","2","usd","pyth","pyth"
"doge#price","1713831547000","0.00020253","0.16077142","2","usd","pyth","pyth"
"doge#price","1713831547001","0.00018809","0.16078675","2","usd","pyth","pyth"
"doge#price","1713831547002","0.00014442","0.16078675","2","usd","pyth","pyth"
"doge#price","1713831547003","0.00018429","0.16079333","2","usd","pyth","pyth"
"doge#price","1713831548000","0.00018332","0.16079063","2","usd","pyth","pyth"
"doge#price","1713831548001","0.00018981","0.16078782","2","usd","pyth","pyth"
"doge#price","1713831549000","0.00016278","0.16079459","2","usd","pyth","pyth"
"doge#price","1713831549001","0.00016424","0.16079313","2","usd","pyth","pyth"
"doge#price","1713831550000","0.00014846","0.16078232","2","usd","pyth","pyth"
"doge#price","1713831550001","0.00016061","0.16078333","2","usd","pyth","pyth"
"doge#price","1713831550002","0.00014871","0.16078205","2","usd","pyth","pyth"
"doge#price","1713831551000","0.00014352","0.16078092","2","usd","pyth","pyth"
"doge#price","1713831552000","0.00014019","0.16078425","2","usd","pyth","pyth"
"doge#price","1713831552001","0.0001411","0.16078334","2","usd","pyth","pyth"
